CIDADE,UF,ENTIDADE,ENDEREÇO,CONTATO,TIPO,,,TIPOS,
Florianópolis,SC,Clube de Regatas Aldo Luz,Parque Náutico Walter Lange,(48) 2241-9140,Clube de Remo,1,,,
Florianópolis,SC,Clube Náutico Francisco Martinelli,Parque Náutico Aterro Baia Sul,(48) 3222-7792,Clube de Remo,1,,,
Florianópolis,SC,Clube Náutico Riachuelo,Parque Náutico Walter Lange,(48) 2223-5157,Clube de Remo,1,,,
Itajaí,SC,Kenpo 5.0 School,"R José Gall, 910/ Sala 2-3 - Dom Bosco",(47) 3248-0392,Musculação,1,,,
Itajaí,SC,Smartfit ITAJAÍ,"R Hercilio Luz, 401 - Centro",,Musculação,1,,,
Itajaí,SC,Studio Remo,????,,aula coletiva,1,,,
Joinville,SC,Summit Fitness Center,"R José Alencar, 140 - América",(47) 3025-2009,Musculação,1,,,
Araras,SP,Studio e Assessoria em Saúde,"R Nilo Peçanha, 54 - Belvedere",(19) 3544-6309,Musculação,1,,,
Barueri,SP,Alphaville Tênis Clube,"Alameda Paris, 555 - Alphaville",(11) 2188-2650,Musculação,1,,,
Campinas,SP,Body Tech CAMPINAS,"Av Guilherme Campos, 500 - Shopping Parque Dom Pedro- Santa Genebra",(19) - 37567800,Musculação,1,,,
Campinas,SP,Smartfit CAMPINAS6,"Av Ruy Rodriguez, 3900 - Shopping Spazio Ouro Verde",,Musculação,1,,,
Cosmópolis,SP,PJA Centro de Treinamento,"Av Ester, 27-B - Jd Bela Vista",(19) 98118-4027,Musculação,1,,,
Cotia,SP,Cia Athletica Granja Vianna,"Shopping The Square Open Mall - Rod. Raposo Tavares km 22,14",(11) 3432-4000,Musculação,1,,,
Cotia,SP,SmartFit Granja Viana km25,"R Mesopotamia, 109 - Jardim Passargada",(11) 3500-6551,Musculação,1,,,
Diadema,SP,Smartfit DIADEMA,"Av Nossa Senhora das Vitórias, 188 - Centro",(11) 2758-6822,Musculação,1,,,
Franca,SP,Estevão Cintra Vieira - Personal,"R José Bonifácia, 470 - Vila Nicacio",(16) 3722-6140,Musculação,1,,,
Guarujá,SP,Smartfit GUARUJÁ,"Av Dom Pedro I, 195 - loja 2354 - Tejereba",,Musculação,1,,,
Itaquaquecetuba,SP,Smartfit ITAQUAQUECETUBA,"Shopping Pateo Itaquá - Av Italo Adami, 1809 - Vila Zeferina",,Musculação,1,,,
Jaboticabal,SP,Fit Co Pernsonal Training,"Avenida Pintos, 245 - Centro",(16) 3204-1917,Musculação,1,,,
Jundiaí,SP,SmartFit JUNDIAÍ,"R XV de Novembro, 1000 - Loja 602 - Vila Arens",(11) 4527-1380,Musculação,1,,,
Limeira,SP,4You Estúdio de Treinamento Personalizado,"R Santa Josefa, 166 - Vila Tank",(19) 3704-4048,Musculação,1,,,
Matão,SP,CrossFit Big Jungle,"R Elias Raimundo de Brito, 368 - Monte Carlo",(16) 99143 6774,CrossFit,1,,,
Maua,SP,Crossfit DP Maua,"Av Capitão João, 1297 - Matriz",,CrossFit,1,,,
Mogi das Cruzes,SP,Brasil Adventure Sports,"Av. Capitão Manoel Rudge, 816",(11) 2378-5778,CrossFit,1,,,
Piracicaba,SP,Associação Piracicaba de Taekwondo,"R Dr Otávio Martins de Toleo, 166 - Castelinho",,Musculação,1,,,
Piracicaba,SP,Bio Ritmo PIRACICABA,"R Visconde do Rio Branco, 583 - Alto",(19) 3375-7003,Musculação,1,,,
Piracicaba,SP,Crossfit Mamute,"R Reg. Feijó, 1314 - Alemães",(19) 3375-8180,CrossFit,1,,,
Praia Grande,SP,Smartfit PRAIA GRANDE,"Av Ayrton Senna da Silva, 1511 - Sitio do Campo",,Musculação,1,,,
Riberião Preto,SP,Academia GMD Sport & Fitness,"R Paschoal Bardaro, 1550 - Jardim Botânico ",(16) 3441-0112,Musculação,1,,,
Santo André,SP,Bio Ritmo SANTO ANDRÉ,"Av Pereira Barreto, 42 - Paraiso",(11) 4433-7000,Musculação,1,,,
Santos,SP,MGX Academia,"R Pedro Americo, 292 - Campo Grande",(13) 3345-1847,Musculação,1,,,
Santos,SP,SmartFit SANTOS,"Av Ana Costa, 574 - Gonzaga",(13) 3324-8974,Musculação,1,,,
São Bernardo do Campo,SP,Academia João Caitano,"Av Pereira Barreto, 1.500 - Vila Baeta Neve",(11) 4123-1128,aula coletiva,1,,,
São Bernardo do Campo,SP,Academia Top Spin,"Av Piraporinha, 414 sala 516 - Alvinópolis",(11) 4341-8423,Musculação,1,,,
São Bernardo do Campo,SP,SmartFit PLAZA SHOPPING,"São Bernardo Plaza Shopping - Av Rotary, 624 - Centro ",(11) 4128-3612,Musculação,1,,,
São Carlos,SP,Smartfit SÃO CARLOS 1,Av Francisco Pereira Lopes (Shopping Passeio São Carlos) - Parque Arnold Schmidt,,Musculação,1,,,
São José dos Campos,SP,A Mais Crossfit,,,CrossFit,1,,,
São José dos Campos,SP,Academia K@2 - S. JOSÉ DOS CAMPOS,"Av Andrômeda, 227 - Jardim Satélite - Shopping Vale Sul",(12) 3308-5865,aula coletiva,1,,,
São Paulo,SP,Academia In Shape,"Av Nova Cantareira, 3882 - Tremembé",(11) 2203-8444,Musculação,1,,,
São Paulo,SP,Academia K@2 - CENTRO,"R Cel. Xavier de Toledo, 23 - 6º andar - Shopping Light",(11) 3129-9174,aula coletiva,1,,,
São Paulo,SP,Academia K@2 - MORUMBI,"R Edward Joseph, 110",(11) 3743-7204,aula coletiva,1,,,
São Paulo,SP,Bio Ritmo CAMPO BELO,"R Barão de Jaceguai, 1409 - Campo Belo",(11) 5098-0800,Musculação,1,,,
São Paulo,SP,Bio Ritmo CENTRO,"R XV de Novembro, 194 - Centro",(11) 3248-3200,Musculação,1,,,
São Paulo,SP,Bio Ritmo CENU,"Av das Nações Unidas, 12901 - Loja 127 - Brooklin Paulista",(11) 3365-0800,Musculação,1,,,
São Paulo,SP,Bio Ritmo CHÁCARA SANTO ANTONIO,"R José Guerra, 111 - Jardim Santo Antônio",(11) 5171-0000,Musculação,1,,,
São Paulo,SP,Bio Ritmo HIGIENÓPOLIS,"Shopping Higienópolis - Av Higienópolis, Piso Buenos Aires, 618",(11) 3667-7888,Musculação,1,,,
São Paulo,SP,Bio Ritmo MORUMBI,"Av Giovanni Gronchi, 4415",(11) 3742-2525,Musculação,1,,,
São Paulo,SP,Bio Ritmo PAULISTA,"Av Paulista, Terraço 2, 2073 - Bela Vista",(11) 3145-6555,Musculação,1,,,
São Paulo,SP,Bio Ritmo TAMBORÉ,"Shopping Tamboré Loja 109 / 142 Av. Piracema, 669 - Tamboré, Barueri",(11) 4196-9700,Musculação,1,,,
São Paulo,SP,Bio Ritmo VOLKS,"Rua Volkswagen, 291 - Jabaquara",,Musculação,1,,,
São Paulo,SP,Bio Ritmo WEST PLAZA,"Shopping West Plaza, Av. Francisco Matarazzo, 1º Piso, Bloco C - Barra Funda",(11) 3871-8200,Musculação,1,,,
São Paulo,SP,Body Tech ELDORADO,"Av Rebouças, 3970, 2º SUBSOLO - Pinheiros/ Shopping Eldorado",(11) 2197-7333,Musculação,1,,,
São Paulo,SP,Centro de Práticas Esportivas da USP,"Praça 2 - Prof. Rubião Meira, 61 - Cidade Universitária",(11) 3091-3362,Clube de Remo,1,,,
São Paulo,SP,Cia Athletica KANSAS,"R Kansas, 1582 - Brooklin",(11) 5105-7000,Musculação,1,,,
São Paulo,SP,Clube Atlético Monte Líbano,"Av República do Líbano, 2.267 - Ibirapuera",(11) 5088-7070,Clube de Remo,1,,,
São Paulo,SP,Clube Atlético Paulistano,"R Honduras, 1.400 - Jardins",(11) 3065-2000,Clube de Remo,1,,,
São Paulo,SP,Clube de Regatas Bandeirante,"Estrada Luiz Pasteur, 230",(11) 4725-8768,Clube de Remo,1,,,
São Paulo,SP,Clube Espéria,"Av Santos Dumont, 1.333",(11) 6221-2344,Clube de Remo,1,,,
São Paulo,SP,Colégio Dante Alighieri,"Alameda Jau, 1061 - Cerqueira Cesar",(11) 3179-4400,Musculação,1,,,
São Paulo,SP,CrossFit 2 Hands,"R Euclides Pacheco, 1515 - Vila Gomes Cardim",(11) 2082-8528,CrossFit,1,,,
São Paulo,SP,Crossfit Villa 1378,"R. Napoleão de Barros, 1378 - Vila Clementino",(11) 3586-9313,CrossFit,1,,,
São Paulo,SP,Domus Romana Crossfit,"R Fábia, 615 - Vila Romana",(11) 99584-0621,CrossFit,1,,,
São Paulo,SP,Esporte Clube Pinheiros,"R Angelina Maffei Vita, 493",(11) 3817-9736,Clube de Remo,1,,,
São Paulo,SP,Estação Fitness,"Alameda Santos, 1123 - Cerqueira César",(11) 3168-4238,Musculação,1,,,
São Paulo,SP,Hilton Hotel (Morumbi),"Av Nações Unidas, 12.901 - Brooklin",(11) 2195-0600,Musculação,1,,,
São Paulo,SP,Hotel Renaissance,"Alameda Santos, 2.233 - Cerqueira Cesar",(11) 3188-4141,Musculação,1,,,
São Paulo,SP,Pro120 - Unidade Mascote,"R Engenheiro Jorge Oliva, 466 - Vila Mascote",(11) 2609-3611,aula coletiva,1,,,
São Paulo,SP,Raia Livre,"Rua Maracá, 40 - Vila Guarani",(11) 5017-0976,Musculação,1,,,
São Paulo,SP,Reebok Club - CIDADE JARDIM,"Av Magalhães de Castro, 12.000 - Morumbi",(11) 3759-7878,Musculação,1,,,
São Paulo,SP,Reebok Club - VILA OLÍMPIA,"R Olimpíadas, 205 - Vila Olímpia",(11) 3847-7878,Musculação,1,,,
São Paulo,SP,Sett Coaching,"R Clodomiro Amazonas, 556 - LOJA 02 - Itaim Bibi",(11) 3368-7556,Musculação,1,,,
São Paulo,SP,Smartfit ARICANDUVA,"Av Aricanduva, 5555 - Jd Santa Terezinha",,Musculação,1,,,
São Paulo,SP,Smartfit BOM RETIRO1,"R dos Italianos, 256 - Bom Retiro",,Musculação,1,,,
São Paulo,SP,Smartfit CAMPOS ELÍSEOS,"Alameda Barão de Limeira, 1011 - Campos Eliseos",,Musculação,1,,,
São Paulo,SP,Smartfit CENTRO1,"Av Paulista, 2073 - Andar 19",,Musculação,1,,,
São Paulo,SP,Smartfit INTERLAGOS4,"Av Sargento Geraldo Sant'ana, 1491 - Jardim Taquaral",,Musculação,1,,,
